Malay,English,,,,,
gambarkan,describe ,,,,,
majukan,develop,,,,,
meninggal duni/mati,die,,,,,
benci,dislike,,,,,
temui,discover,,,,,
selam,dive,,,,,
buat,do,,,,,
buat u-turn,do a u-turn,,,,,
berkebun,do gardening,,,,,
beli barang runcit,do groceries,,,,,
buat sendiri,do diy,,,,,
buat kerja rumah sekolah,do homework,,,,,
buat kerja rumah ,do housework,,,,, 
ambil foto/gambar,do photography,,,,,
berlakon,do some acting,,,,,
pergi beli belah,do some shopping,,,,,
buat terbaik,do the best,,,,,
basuh/cuci pinggan,do the dishes,,,,,
basuh/cuci baju,do the laundry,,,,,
buat senaman/bersukan,do some sport,,,,,
pergi jogging,go jogging,,,,,
pindah data,download,,,,,
lukis,draw,,,,,
minum,drink,,,,,
pandu,drive,,,,,
pandu ke,drive to,,,,,
pandu ke,drive by,,,,,
singgahj,drop by,,,,,
makan,eat,,,,,
masuk,enter,,,,,
padam,erase,,,,,
alami,experience,,,,,
terangkan,explain,,,,,
teroka/jajah,explore,,,,,
gagal,fail,,,,,
isikan,"fill out, fill up",,,,,
cari,find,,,,,
tamat/selasai/habis,finish,,,,,
pancing ikan,fish,,,,,
terbang,fly,,,,,
ikut,follow,,,,,
larang,forbid,,,,,
lupa,forget,,,,,
maafkan,forgive,,,,,
dapat,get,,,,,
bagi/beri,give,,,,,
pulangkan,give back,,,,,
