Malay,English,,,,,
tambah,add,,,,,
nasihat,advise,,,,,
jawab,answer,,,,,
susun / mengatur,arrange ,,,,,
tangkap,arrest,,,,,
tiba / sampai / datang,arrive,,,,,
tanya,ask,,,,,
elak,avoid,,,,,
tawar-menawar,bargain,,,,,
cantikkan,beautify,,,,,
menjadi,become,,,,,
mula,begin,,,,,
percaya,believe,,,,, 
pinjam,borrow,,,,,
tempah,book,,,,,
pecah,break,,,,,
bawa sesuatu (benda),bring something,,,,,
bawa seseorang,bring someone ,,,,,
pulangkan sesuatu,bring back something,,,,,
hantar seseorang,bring back someone,,,,,
bina,build,,,,,
bakar,burn,,,,,
beli,buy,,,,,
panggil / talipon,"call, make a call",,,,,
batal,cancel,,,,,
bawa / angkat,carry,,,,,
tangkap,catch,,,,,
tukar,change,,,,,
bual,chat,,,,,
pilih,choose,,,,,
bersih,clean,,,,,
panjat  / daki,climb,,,,,
tutup,close,,,,,
datang,come,,,,,
datang ke,come to ,,,,,
datang dari,come from ,,,,,
pulang,come back ,,,,,
teruskan,continue,,,,,
kawal,control,,,,,
masak,cook,,,,,
betul,correct,,,,,
biaya,cost,,,,,
kira / bilang,count ,,,,,
cipta,create,,,,,
potong,cut,,,,,
nangis,cry,,,,,
menari,dance,,,,,
memutuskan,decide ,,,,,
gambarkan,describe ,,,,,
majukan,develop,,,,,
meninggal duni/mati,die,,,,,
benci,dislike,,,,,
temui,discover,,,,,
selam,dive,,,,,
buat,do,,,,,
buat u-turn,do a u-turn,,,,,
berkebun,do gardening,,,,,
beli barang runcit,do groceries,,,,,
buat sendiri,do diy,,,,,
buat kerja rumah sekolah,do homework,,,,,
buat kerja rumah ,do housework,,,,,
ambil foto/gambar,do photography,,,,,
berlakon,do some acting,,,,,
pergi beli belah,do some shopping,,,,,
buat terbaik,do the best,,,,,
basuh/cuci pinggan,do the dishes,,,,,
basuh/cuci baju,do the laundry,,,,,
buat senaman/bersukan,do some sport,,,,,
pergi jogging,go jogging,,,,,
pindah data,download,,,,,
lukis,draw,,,,,
minum,drink,,,,,
pandu,drive,,,,,
pandu ke,drive to,,,,,
pandu ke,drive by,,,,,
singgahj,drop by,,,,,
makan,eat,,,,,
masuk,enter,,,,,
padam,erase,,,,,
alami,experience,,,,,
terangkan,explain,,,,,
teroka/jajah,explore,,,,,
gagal,fail,,,,,
isikan,"fill out, fill up",,,,,
cari,find,,,,,
tamat/selasai/habis,finish,,,,,
pancing ikan,fish,,,,,
terbang,fly,,,,,
ikut,follow,,,,,
larang,forbid,,,,,
lupa,forget,,,,,
maafkan,forgive,,,,,
dapat,get,,,,,
bagi/beri,give,,,,,
pulangkan,give back,,,,,
bagi hadiah,give a gift,,,,,
pergi,go,,,,,
pulang ke rumah,go back home,,,,,
pulang ke rumah,go back to,,,,,
turun,go down,,,,,
pergi jalan,go for a walk,,,,,
pergi tidur,go to bed,,,,,
naik atas,go up,,,,,
pargi keluar,go out,,,,,
pergi ke pasar,go to wet market,,,,,
jemput,invite,,,,,
lompat,jump,,,,,
minum,have a drink,,,,,
makan sarapan,have breakfast,,,,,
makan malam,have dinner,,,,,
makan tengah hari,have lunch,,,,,
cium,kiss,,,,,
cium hello,kiss hello,,,,,
ketawa,laugh,,,,,
belajar,learn,,,,,
tinggal,leave,,,,,
suka,like,,,,,
dengar,listen,,,,,
tinggal,live,,,,,
cari,look for,,,,,
hilang,lose,,,,,
hilang berat badan,lose weight,,,,,
cinta/sayang,love,,,,,
telefon,make a call,,,,,
buat panggilan,make a call,,,,,
buat komplain,make a complaint,,,,,
buat hadiah,make a gift,,,,,
buat rancangan,make plans,,,,,
urus/kendali,manage,,,,,
jumpa,meet,,,,,
hafal/ingat,memorize,,,,,
campur,mix,,,,,
rindu,miss,,,,,
pindah masuk,move in,,,,,
pindah ke luar,move out,,,,,
pesan,order,,,,,
punya,own,,,,,
bungkus,pack ,,,,,
hantar,pass,,,,,
bayar,pay,,,,,
beri perhatian,pay attention,,,,,
parti,party,,,,,
ambil seseorang,pick up someone,,,,,
jemput seseorang,pick up someone,,,,,
main,play,,,,,
pray,sembayang,,,,,
put,letak,,,,,
read,baca,,,,,
recommend,cadangkan,,,,,
redo,buat lagi,,,,,
rent,sewa,,,,,
restart,mula lagi,,,,,
save money,simpan duit,,,,,
say,kata/cakap,,,,,
see,lihat/tenggok,,,,,
sell,jual,,,,,
send,hantar,,,,,
show,tunjuk,,,,,
sing,nanyi,,,,,
sleep,tidur,,,,,
wake up late,bangun lambat,,,,,
smile,senyum,,,,,
speak,cakap,,,,,
spend time,habiskan masa,,,,,
stand,berdiri,,,,,
start,mula,,,,,
stay,tinggal,,,,,
study,belajar,,,,,
study at,belajar di,,,,,
study law,belajar undang-undang,,,,,
studio piano,belajar piano,,,,,
surf internet,layar internet,,,,,
swim,berenang,,,,,
take,ambil,,,,,
take again,ambil semula,,,,,
take a nap,tidur sekejap,,,,,
make a trip,pergi bercuti,,,,,
taste,rasa,,,,,
teach,ajar,,,,,
tell,beritahu,,,,,
thank,berterima kasih,,,,,
think,fikir,,,,,
travel,pergi jalan jauh,,,,,
travel,kembara,,,,,
try,cuba,,,,,
turn,pusing,,,,,
use,guna,,,,,
win/earn,menang/dapat,,,,,
visit a place,lawat sebuah tempat,,,,,
visit someone,lawat seseorang,,,,,
watch tv,tengok tv / tonton tv,,,,,
work,kerja,,,,,
write,tulis,,,,,
