Malay,English,,,,,
sombong,arrogant,,,,,
dibenarkan,allowed,,,,,
mengjengkelkan,annoying,,,,,
jahat,bad,,,,,
cantik,"beautiful, pretty",,,,,
lebih baik,better,,,,,
besar,big,,,,,
baru,brand new,,,,,
berani,brave,,,,,
membosankan,boring,,,,,
sibuk,busy,,,,,
memikat,charming,,,,,
bersih,clean,,,,, 
sejuk,cold,,,,,
memudahkan,convenient,,,,,
betul,correct,,,,,
selesa,cozy,,,,,
penakut,coward,,,,,
gila,crazy,,,,,
comel,cute,,,,,
sedap,delicious,,,,,
berbeza,different,,,,,
susah,difficult,,,,,
kotor,dirty,,,,,
tidak jujur,dishonest,,,,,
senang,easy,,,,,
awal,early,,,,,
cekap,efficient,,,,,
kosong,empty,,,,,
bertenaga,energetic,,,,,
mahal,expensive,,,,,
tiruan,"fake, false",,,,,
terkenal,famous,,,,,
ranggi,fashionable,,,,,
jauh,far,,,,,
fat,gemuk,,,,,
rata,flat,,,,,
dilarang,forbidden,,,,,
lapang,free,,,,,
percuma,free of charge ,,,,,
peramah,friendly,,,,,
penuh,full,,,,,
kelakar,funny,,,,,
pemurah,generous,,,,,
murah,good deal,,,,,
berkualiti,good taste / quality,,,,,
keras,hard,,,,,
kuat kerja,hard working,,,,,
gembira,happy,,,,,
sihat,healthy,,,,,
jujur,honest,,,,,
panas / suam,hot / warm,,,,,
besar,huge,,,,,
rendah diri,humble,,,,,
lapar,hungry,,,,,
Terburu-buru,impatient,,,,,
tidak sopan,impolite,,,,,
salah,incorrect,,,,,
menakjubkan,incredible,,,,,
cuai,inefficient,,,,,
menarik,interesting,,,,,
periang,joyful,,,,,
baik hati,kind ,,,,,
lambat,late,,,,,
pemalas,lazy,,,,,
panjang,long,,,,,
dekat,near,,,,,
baru,new,,,,,
bising,noisy,,,,,
normal,normal,,,,,
tidak sedia,not ready,,,,,
digunakan,occupied,,,,,
lama,"old, ancient",,,,,
fesyen lama,old fashioned,,,,,
tepat waktu,on time,,,,,
biasa,ordinary,,,,,
sabar,patient,,,,,
barbayar,payable,,,,,
menyenagkan,pleasant,,,,,
miskin,poor,,,,,
berbudi bahasa,polite,,,,,
senyap,quiet,,,,,
sedia,ready,,,,,
kaya,rich,,,,,
kasar,rude,,,,,
sedih,sad,,,,,
pendek,short,,,,,
pemalu,shy,,,,,
sakit,sick,,,,,
mudah,simple,,,,,
mengantuk,sleepy,,,,,
kurus,slim,,,,,
kecil,"small, short",,,,,
bergaya,stylish,,,,,
lembut,soft,,,,,
kuat,strong,,,,,
manis,sweet,,,,,
banyak cakap,talkative,,,,,
tinggi,tall,,,,,
tawar,tasteless,,,,,
dahsyat,terrible,,,,,
dahaga,thirsty,,,,,
kecil,tiny,,,,,
penat,tired,,,,,
benar,“true”,,,,,
buruk,ugly,,,,,
tidak terkenal,unknown,,,,,
lemah,weak,,,,,
pelik / ganjil,weird,,,,,
bagus,well done,,,,,
menakjubkan,wonderful,,,,,
lebih teruk,worse,,,,,
muda,young,,,,,
