Malay,English,,,,,
dalam,in,,,,,
dekat,near,,,,,
kanan,on the right,,,,,
jauh ,far from,,,,,
antara ,between,,,,,
atas,on top,,,,,
tanpa,without,,,,,
bawah,under,,,,,
depan,in front of,,,,,
terus,straight,,,,,
belakang,behind,,,,,
kiri,on the left,,,,,
sebab / kerana,because,,,,, 
serta,together,,,,,
sejak,since,,,,,
di sana,there,,,,,
di sini,here,,,,,
oleh ,by,,,,,
melalui,through,,,,,
semasa,during,,,,,
selepas,after,,,,,
sebelah,beside,,,,,
belum,no yet,,,,,
tadi,just now,,,,,
sudah,already,,,,,
segara,immediately,,,,,
mungkin,may be,,,,,
juga,too/also,,,,,
selalu,always,,,,,
tidak pernah,never,,,,,
Kadang-kadang,sometimes,,,,,
sampai,until,,,,,
at + time,pada,,,,,
at + time,pada pukul kita,,,,,
