Malay,English,,,,,
baru-baru ini,recently,,,,,
dulu,last time,,,,,
lima minit tadi,five minutes ago,,,,,
tiga hari lepas,three days ago,,,,,
dua tahun lepas,two years ago,,,,,
malam semalam,last night,,,,,
Isnin lepas,last Monday,,,,,
minggu lepas,last week,,,,,
januari lepas,last January,,,,,
tahun lepas,last year,,,,,
bulan lepas,last month,,,,,
minggu lepas,last week,,,,,
hari minggu lepas,last weekend,,,,, 
semalam ,yesterday,,,,,
pagi semalam,yesterday morning,,,,,
tengah hari semalam ,yesterday afternoon,,,,,
malam semalam,yesterday evening,,,,,
pada suatu masa dulu,a long time ago,,,,,
pada masa lama,for a long time,,,,,
bulan januari lepas,last January,,,,,
Hari Raya lepas,last Hari Raya,,,,,
