Malay,English,,,,,
secepat mungkin,asap,,,,,
sekarang,now,,,,,
nanti,later,,,,,
selepas ini,after this,,,,,
pagi ini,this morning,,,,,
tengahari ini,this mid-day/afternoon,,,,,
petang ini,this evening,,,,,
malam ini,this night,,,,,
minggu ini,this week,,,,,
bulan ini,this month,,,,,
hari ini,today,,,,,
esok,tomorrow,,,,,
lusa,the day after tomorrow,,,,, 
semalam ,yesterday,,,,,
kelmarin,the day before yesterday,,,,,
pagi esok,tomorrow morning,,,,,
tenga hari esok,tomorrow afternoon,,,,,
malam esok,tomorrow night,,,,,
pada tengah hari ,at noon,,,,,
pada pukul tiga,at three o’clock,,,,,
pada tengah malam,at midnight,,,,,
pada hari Isnin,on Monday,,,,,
pada hari Selasa,on Tuesday,,,,,
musim sejuk,winter,,,,,
musim luruh,autumn,,,,,
musim bunga,spring,,,,,
musim panas,summer,,,,,
musim hujan,rainy season,,,,,
