Malay,English,,,,,
setiap Jumaad,on Fridays,,,,,
setiap Ahad,on Sundays,,,,,
Isnin depan,next Monday,,,,,
selalunya,usually,,,,,
kerap,often,,,,,
sekali-sekala,from time to time,,,,,
kadang-kadang,sometimes,,,,,
setiap hari,every/each day,,,,,
setiap pagi,every morning,,,,,
setiap tengah hari,every afternoon,,,,,
setiap petang,every evening,,,,,
setiap malam,every night,,,,,
setiap tahun,every year,,,,, 
setiap bulan,every month,,,,,
setiap hujung minggu,every weekend,,,,,
setiap minggu,every weekend,,,,,
pagi,morning,,,,,
tengah hari,midday/afternoon,,,,,
petang,evening,,,,,
malam,night,,,,,
hujung minggu,weekend,,,,,
hari kerja,weekdays (working days),,,,,
