Malay,English,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
dalam,in,,,,,
dekat,near,,,,,
jauh ,far from,,,,,
antara ,between,,,,,
atas,on top,,,,,
tanpa,without,,,,,
depan,in front of,,,,,
terus,straight,,,,,
belakang,behind,,,,,
kiri,on the left,,,,,
sebab / kerana,because,,,,, 
serta,together,,,,,
sejak,since,,,,,
di sana,there,,,,,
di sini,here,,,,,
oleh ,by,,,,,
melalui,through,,,,,
semasa,during,,,,,
selepas,after,,,,,
sebelah,beside,,,,,
belum,not yet,,,,,
tadi,just now,,,,,
segera,immediately,,,,,
juga,too/also,,,,,
selalu,always,,,,,
tidak pernah,never,,,,,
kadang-kadang,sometimes,,,,,
sampai,until,,,,,
pada,at…,,,,,
pada pukul ,at + time…,,,,,
